"","egg","Olim","temp","velocity"
"863",107,0.586719,7,0.05
"864",108,0.573652,7,0.05
"865",109,0.51873,7,0.05
"866",110,0.560572,7,0.05
"867",111,0.567726,7,0.05
"868",112,0.559977,7,0.05
"869",113,0.544489,7,0.05
"870",114,0.590625,7,0.05
"871",115,0.562223,7,0.05
"872",116,0.59551,7,0.05
"873",117,0.593859,7,0.05
"874",118,0.576147,7,0.05
"875",119,0.584399,7,0.05
"876",120,0.550434,7,0.05
"877",121,0.576018,7,0.05
"878",122,0.591987,7,0.05
"879",123,0.586777,7,0.05
"880",124,0.62261,7,0.05
"881",125,0.598894,7,0.05
"882",126,0.582287,7,0.05
"883",1,0.507583,7,0.06
"884",2,0.506332,7,0.06
"885",3,0.511752,7,0.06
"886",4,0.499789,7,0.06
"887",5,0.504492,7,0.06
"888",6,0.541529,7,0.06
"889",7,0.509823,7,0.06
"890",8,0.508244,7,0.06
"891",9,0.501666,7,0.06
"892",10,0.5428,7,0.06
"893",11,0.512035,7,0.06
"894",12,0.521019,7,0.06
"895",13,0.517736,7,0.06
"896",14,0.53066,7,0.06
"897",15,0.517191,7,0.06
"898",16,0.49299,7,0.06
"899",17,0.536668,7,0.06
"900",18,0.538183,7,0.06
"901",19,0.527841,7,0.06
"902",20,0.521668,7,0.06
"903",21,0.532883,7,0.06
"904",22,0.503523,7,0.06
"905",23,0.55476,7,0.06
"906",24,0.506419,7,0.06
"907",25,0.513149,7,0.06
"908",26,0.511726,7,0.06
"909",27,0.518273,7,0.06
"910",28,0.499742,7,0.06
"911",29,0.506918,7,0.06
"912",30,0.522339,7,0.06
"913",31,0.530786,7,0.06
"914",32,0.488995,7,0.06
"915",33,0.532248,7,0.06
"916",34,0.514744,7,0.06
"917",35,0.51213,7,0.06
"918",36,0.501801,7,0.06
"919",37,0.526557,7,0.06
"920",38,0.504017,7,0.06
"921",39,0.499253,7,0.06
"922",40,0.556349,7,0.06
"923",41,0.524465,7,0.06
"924",42,0.507607,7,0.06
"925",43,0.508373,7,0.06
"926",44,0.493357,7,0.06
"927",45,0.52088,7,0.06
"928",46,0.521064,7,0.06
"929",47,0.551156,7,0.06
"930",48,0.50612,7,0.06
"931",49,0.522235,7,0.06
"932",50,0.548269,7,0.06
"933",51,0.534517,7,0.06
"934",52,0.524229,7,0.06
"935",53,0.542285,7,0.06
"936",54,0.531815,7,0.06
"937",55,0.523239,7,0.06
"938",56,0.521617,7,0.06
